Timestamp,Are you currently a member at the club?,Are you currently on the waiting list for membership at the club?,How long have you been a member at the club?,"On average, how often do you participate in instructional programs (lessons, clinics, etc.) at the club?",Please describe your level of satisfaction with the following aspects of instruction at the club. [Overall Instructor Quality],Please describe your level of satisfaction with the following aspects of instruction at the club. [Instructor Teaching Ability],Please describe your level of satisfaction with the following aspects of instruction at the club. [Pricing],"Please describe your level of satisfaction with the following aspects of instruction at the club. [Activities (games, drills, etc.)]","Please describe your level of satisfaction with the following aspects of instruction at the club. [Facilities (courts, nets, etc.)]","Please describe your level of satisfaction with the following aspects of instruction at the club. [Equipment (balls, mowers, etc.)]",How often do you visit the Pro Shop at the club?,Please describe your level of satisfaction with the following aspects of the Pro Shop at the club. [Hours of operation],Please describe your level of satisfaction with the following aspects of the Pro Shop at the club. [Merchandise selection],Please describe your level of satisfaction with the following aspects of the Pro Shop at the club. [Stringing services],Please describe your level of satisfaction with the following aspects of the Pro Shop at the club. [Helpfulness of staff],Please describe your level of satisfaction with the following aspects of the Pro Shop at the club. [Prices]
3/3/2022 17:09:39,Yes,,More than 10 years,1-3 times per week,Highly Satisfied,Neutral,Highly Satisfied,Highly Satisfied,Highly Satisfied,Neutral,1-3 times per month,Slightly Satisfied,Neutral,Highly Satisfied,Slightly Satisfied,Highly Satisfied
3/3/2022 17:27:39,Yes,,1-5 years,Less than once per week,Neutral,Neutral,Slightly Satisfied,Neutral,Highly Satisfied,Neutral,More than 3 times per month,Slightly Dissatisfied,Highly Dissatisfied,,Slightly Satisfied,Neutral
3/3/2022 17:30:25,Yes,,More than 10 years,Less than once per week,Slightly Dissatisfied,Slightly Dissatisfied,Neutral,Neutral,Highly Satisfied,Neutral,1-3 times per month,Slightly Satisfied,Slightly Satisfied,Highly Satisfied,Highly Satisfied,Neutral
3/3/2022 17:32:17,Yes,,5-10 years,1-3 times per week,Slightly Satisfied,Slightly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Slightly Satisfied,Less than once per month,Neutral,Slightly Dissatisfied,Highly Satisfied,Neutral,Neutral
3/3/2022 17:35:07,Yes,,More than 10 years,1-3 times per week,Neutral,Neutral,Slightly Dissatisfied,Slightly Satisfied,Slightly Dissatisfied,Highly Dissatisfied,Less than once per month,,Highly Dissatisfied,,,
3/3/2022 17:35:40,Yes,,More than 10 years,Less than once per week,Slightly Dissatisfied,Slightly Dissatisfied,Neutral,Highly Dissatisfied,Neutral,Highly Dissatisfied,Less than once per month,Neutral,Highly Dissatisfied,Highly Dissatisfied,Slightly Dissatisfied,Neutral
3/3/2022 17:41:11,Yes,,5-10 years,Less than once per week,Highly Satisfied,Highly Satisfied,Slightly Satisfied,Slightly Satisfied,Highly Satisfied,Highly Satisfied,Less than once per month,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied
3/3/2022 17:42:34,Yes,,More than 10 years,Less than once per week,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,More than 3 times per month,Neutral,Neutral,Highly Satisfied,Highly Satisfied,Highly Satisfied
3/3/2022 17:43:26,Yes,,More than 10 years,Less than once per week,Slightly Satisfied,Slightly Satisfied,Neutral,Slightly Satisfied,Highly Satisfied,Highly Satisfied,Less than once per month,Neutral,Slightly Satisfied,Neutral,Neutral,Slightly Satisfied
3/3/2022 17:47:22,Yes,,5-10 years,1-3 times per week,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Less than once per month,,,,,
3/3/2022 17:52:07,Yes,,More than 10 years,Less than once per week,Neutral,Slightly Dissatisfied,Slightly Dissatisfied,Slightly Dissatisfied,Slightly Satisfied,Slightly Satisfied,Less than once per month,Slightly Satisfied,Highly Satisfied,Slightly Dissatisfied,Slightly Satisfied,Neutral
3/3/2022 17:56:18,Yes,,More than 10 years,1-3 times per week,Highly Satisfied,Highly Satisfied,Slightly Dissatisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,1-3 times per month,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied
3/3/2022 18:11:38,Yes,,More than 10 years,Less than once per week,Neutral,Slightly Satisfied,Slightly Satisfied,Slightly Satisfied,Highly Satisfied,Slightly Satisfied,Less than once per month,Slightly Satisfied,Neutral,Neutral,Slightly Satisfied,Slightly Satisfied
3/3/2022 18:16:12,Yes,,5-10 years,1-3 times per week,Highly Satisfied,Highly Satisfied,Slightly Satisfied,Slightly Satisfied,Highly Satisfied,Highly Satisfied,Less than once per month,Highly Satisfied,Slightly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied
3/3/2022 18:20:53,Yes,,More than 10 years,1-3 times per week,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,1-3 times per month,Neutral,Slightly Dissatisfied,Highly Satisfied,Highly Satisfied,Neutral
3/3/2022 18:23:35,Yes,,More than 10 years,Less than once per week,Highly Dissatisfied,Highly Dissatisfied,Neutral,Highly Dissatisfied,Neutral,Slightly Dissatisfied,Less than once per month,Neutral,Slightly Dissatisfied,Highly Dissatisfied,Slightly Dissatisfied,Neutral
3/3/2022 18:26:30,Yes,,More than 10 years,More than 3 times per week,Highly Dissatisfied,Highly Dissatisfied,Neutral,Highly Dissatisfied,Highly Satisfied,Neutral,Less than once per month,Slightly Dissatisfied,Slightly Dissatisfied,Slightly Dissatisfied,Slightly Satisfied,Slightly Satisfied
3/3/2022 18:31:02,Yes,,More than 10 years,1-3 times per week,Highly Dissatisfied,Highly Dissatisfied,Highly Dissatisfied,Highly Dissatisfied,Highly Dissatisfied,Highly Dissatisfied,Less than once per month,Highly Dissatisfied,Highly Dissatisfied,Highly Dissatisfied,Highly Dissatisfied,Highly Dissatisfied
3/3/2022 18:31:36,Yes,,1-5 years,1-3 times per week,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Less than once per month,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied
3/3/2022 18:38:20,Yes,,More than 10 years,I have never received instruction at the club,,,,,,,Less than once per month,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied
3/3/2022 18:39:40,Yes,,More than 10 years,Less than once per week,Slightly Satisfied,Slightly Dissatisfied,Neutral,Highly Dissatisfied,Highly Satisfied,Slightly Dissatisfied,Less than once per month,Slightly Dissatisfied,Highly Dissatisfied,Slightly Satisfied,Slightly Satisfied,Neutral
3/3/2022 18:40:20,Yes,,5-10 years,More than 3 times per week,Highly Dissatisfied,Highly Dissatisfied,Highly Dissatisfied,Highly Dissatisfied,Slightly Dissatisfied,Slightly Dissatisfied,More than 3 times per month,Highly Dissatisfied,Highly Dissatisfied,Highly Dissatisfied,Highly Dissatisfied,Highly Dissatisfied
3/3/2022 18:41:13,Yes,,More than 10 years,1-3 times per week,Highly Satisfied,Highly Satisfied,Highly Satisfied,Slightly Satisfied,Slightly Satisfied,Slightly Satisfied,Less than once per month,Highly Satisfied,Highly Satisfied,Slightly Satisfied,Slightly Satisfied,Slightly Satisfied
3/3/2022 18:47:24,Yes,,More than 10 years,I have never received instruction at the club,,,,,,,Less than once per month,Neutral,Neutral,Neutral,Neutral,Neutral
3/3/2022 18:48:13,Yes,,More than 10 years,Less than once per week,Highly Satisfied,Highly Satisfied,Neutral,Neutral,Highly Satisfied,Highly Satisfied,1-3 times per month,Highly Satisfied,Highly Satisfied,Slightly Dissatisfied,Highly Satisfied,Neutral
3/3/2022 18:56:59,Yes,,1-5 years,1-3 times per week,Slightly Dissatisfied,Neutral,Neutral,Highly Dissatisfied,Slightly Dissatisfied,Slightly Dissatisfied,Less than once per month,Neutral,Slightly Dissatisfied,Neutral,Slightly Dissatisfied,Slightly Dissatisfied
3/3/2022 19:03:08,Yes,,5-10 years,1-3 times per week,Slightly Dissatisfied,Slightly Satisfied,Highly Satisfied,Slightly Dissatisfied,Highly Satisfied,Highly Satisfied,1-3 times per month,Slightly Dissatisfied,Neutral,Slightly Satisfied,Highly Satisfied,Highly Satisfied
3/3/2022 19:04:10,Yes,,5-10 years,I have never received instruction at the club,,,,,,,Less than once per month,Neutral,Neutral,Neutral,Neutral,Neutral
3/3/2022 19:24:45,Yes,,5-10 years,1-3 times per week,Slightly Dissatisfied,Slightly Dissatisfied,Slightly Satisfied,Slightly Dissatisfied,Highly Satisfied,Neutral,1-3 times per month,Slightly Dissatisfied,Slightly Satisfied,Neutral,Slightly Dissatisfied,Neutral
3/3/2022 19:30:08,Yes,,More than 10 years,I have never received instruction at the club,,,,,,,I have never visited the Pro Shop at the club,,,,,
3/3/2022 19:37:45,Yes,,5-10 years,Less than once per week,Slightly Dissatisfied,Slightly Dissatisfied,Slightly Dissatisfied,Slightly Dissatisfied,Highly Satisfied,Highly Satisfied,Less than once per month,Slightly Dissatisfied,Slightly Dissatisfied,Slightly Dissatisfied,Slightly Dissatisfied,Slightly Dissatisfied
3/3/2022 19:39:02,Yes,,5-10 years,Less than once per week,Neutral,Neutral,Neutral,Neutral,Highly Satisfied,Highly Satisfied,Less than once per month,Neutral,Neutral,Neutral,Neutral,Neutral
3/3/2022 19:42:30,Yes,,1-5 years,1-3 times per week,Slightly Satisfied,Slightly Satisfied,Slightly Satisfied,Neutral,Slightly Satisfied,Slightly Satisfied,I have never visited the Pro Shop at the club,,,,,
3/3/2022 20:12:00,Yes,,More than 10 years,More than 3 times per week,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Slightly Satisfied,1-3 times per month,Slightly Dissatisfied,Neutral,Slightly Satisfied,Highly Satisfied,Slightly Satisfied
3/3/2022 20:26:43,Yes,,More than 10 years,Less than once per week,Neutral,Slightly Dissatisfied,Slightly Satisfied,Slightly Dissatisfied,Highly Satisfied,Slightly Satisfied,1-3 times per month,Neutral,Slightly Dissatisfied,Neutral,Slightly Satisfied,Neutral
3/3/2022 20:33:36,Yes,,5-10 years,1-3 times per week,Slightly Satisfied,Slightly Satisfied,Slightly Satisfied,Neutral,Slightly Satisfied,Slightly Satisfied,1-3 times per month,Slightly Dissatisfied,Slightly Satisfied,Slightly Satisfied,Highly Satisfied,Slightly Satisfied
3/3/2022 20:38:01,Yes,,5-10 years,I have never received instruction at the club,,,,,,,More than 3 times per month,Neutral,Neutral,Neutral,Neutral,Neutral
3/3/2022 20:47:05,Yes,,More than 10 years,Less than once per week,Neutral,Neutral,Slightly Dissatisfied,Neutral,Highly Satisfied,Neutral,More than 3 times per month,Neutral,Slightly Dissatisfied,Slightly Dissatisfied,Neutral,Slightly Dissatisfied
3/3/2022 20:53:42,Yes,,5-10 years,Less than once per week,Neutral,Neutral,Neutral,Neutral,Slightly Satisfied,Neutral,1-3 times per month,Neutral,Highly Dissatisfied,Highly Dissatisfied,Highly Dissatisfied,Slightly Dissatisfied
3/3/2022 21:01:26,Yes,,1-5 years,I have never received instruction at the club,,,,,,,More than 3 times per month,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied
3/3/2022 21:33:53,Yes,,1-5 years,Less than once per week,Slightly Dissatisfied,Neutral,Neutral,Slightly Dissatisfied,Slightly Satisfied,Neutral,Less than once per month,Highly Satisfied,Slightly Satisfied,Neutral,Slightly Satisfied,Slightly Satisfied
3/3/2022 21:48:14,Yes,,More than 10 years,I have never received instruction at the club,,,,,,,1-3 times per month,Highly Satisfied,Slightly Satisfied,,Highly Satisfied,Neutral
3/3/2022 22:14:13,Yes,,1-5 years,I have never received instruction at the club,,,,,,,Less than once per month,Neutral,Neutral,Neutral,Neutral,Neutral
3/4/2022 6:40:45,Yes,,5-10 years,Less than once per week,Slightly Satisfied,Slightly Satisfied,Slightly Satisfied,Neutral,Highly Satisfied,Slightly Satisfied,Less than once per month,Slightly Satisfied,Neutral,Highly Satisfied,Highly Satisfied,Slightly Satisfied
3/4/2022 7:38:23,Yes,,1-5 years,More than 3 times per week,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Slightly Satisfied,Slightly Satisfied,Less than once per month,Neutral,Neutral,Highly Satisfied,Highly Satisfied,Slightly Satisfied
3/4/2022 7:44:32,Yes,,More than 10 years,Less than once per week,Neutral,Slightly Dissatisfied,Neutral,Slightly Dissatisfied,Neutral,Neutral,Less than once per month,Highly Dissatisfied,Slightly Dissatisfied,Slightly Dissatisfied,Neutral,Slightly Dissatisfied
3/4/2022 7:50:10,Yes,,More than 10 years,Less than once per week,Neutral,Neutral,Neutral,Neutral,Highly Satisfied,Slightly Dissatisfied,Less than once per month,Neutral,Neutral,,Neutral,Neutral
3/4/2022 8:50:01,Yes,,5-10 years,1-3 times per week,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,1-3 times per month,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied
3/4/2022 9:24:26,Yes,,More than 10 years,1-3 times per week,Slightly Satisfied,Slightly Satisfied,Slightly Satisfied,Highly Satisfied,Highly Satisfied,Slightly Satisfied,1-3 times per month,Neutral,Neutral,Slightly Satisfied,Highly Satisfied,Slightly Satisfied
3/4/2022 9:29:49,Yes,,Less than 1 year,Less than once per week,Slightly Satisfied,Slightly Satisfied,Slightly Satisfied,Slightly Satisfied,Slightly Satisfied,Slightly Satisfied,I have never visited the Pro Shop at the club,,,,,
3/4/2022 10:14:56,Yes,,More than 10 years,1-3 times per week,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Less than once per month,Slightly Dissatisfied,Slightly Dissatisfied,Slightly Dissatisfied,Neutral,Highly Dissatisfied
3/4/2022 11:02:03,Yes,,5-10 years,More than 3 times per week,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Dissatisfied,1-3 times per month,Neutral,Neutral,Highly Satisfied,Highly Satisfied,Neutral
3/4/2022 12:19:46,Yes,,5-10 years,I have never received instruction at the club,,,,,,,Less than once per month,Neutral,Neutral,Neutral,Neutral,Neutral
3/4/2022 14:04:21,Yes,,More than 10 years,1-3 times per week,Slightly Satisfied,Slightly Satisfied,Slightly Satisfied,Slightly Satisfied,Highly Satisfied,Slightly Satisfied,Less than once per month,Slightly Dissatisfied,Slightly Dissatisfied,Highly Satisfied,Slightly Satisfied,Slightly Satisfied
3/4/2022 17:05:50,Yes,,1-5 years,Less than once per week,Slightly Satisfied,Slightly Satisfied,Slightly Satisfied,Neutral,Highly Satisfied,Slightly Satisfied,Less than once per month,Slightly Dissatisfied,Slightly Dissatisfied,Neutral,Neutral,Neutral
3/4/2022 18:54:28,Yes,,Less than 1 year,1-3 times per week,Highly Satisfied,Highly Satisfied,Slightly Satisfied,Slightly Satisfied,Highly Satisfied,Highly Satisfied,Less than once per month,Neutral,Neutral,Neutral,Neutral,Neutral
3/4/2022 19:38:12,Yes,,More than 10 years,I have never received instruction at the club,,,,,,,Less than once per month,Neutral,Neutral,Neutral,Highly Satisfied,Neutral
3/4/2022 19:40:16,Yes,,5-10 years,I have never received instruction at the club,,,,,,,I have never visited the Pro Shop at the club,,,,,
3/4/2022 22:06:52,Yes,,1-5 years,1-3 times per week,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,1-3 times per month,Neutral,Slightly Satisfied,Highly Satisfied,Highly Satisfied,Slightly Satisfied
3/5/2022 15:17:03,Yes,,1-5 years,1-3 times per week,Slightly Satisfied,Slightly Satisfied,Neutral,Slightly Dissatisfied,Highly Satisfied,Slightly Satisfied,Less than once per month,Slightly Satisfied,Slightly Dissatisfied,Neutral,Neutral,Slightly Dissatisfied
3/5/2022 16:06:50,Yes,,5-10 years,Less than once per week,Highly Satisfied,Highly Satisfied,Slightly Satisfied,Highly Satisfied,Highly Satisfied,Slightly Satisfied,1-3 times per month,Highly Dissatisfied,Highly Dissatisfied,Slightly Dissatisfied,Neutral,Neutral
3/8/2022 8:09:32,Yes,,1-5 years,I have never received instruction at the club,,,,,,,I have never visited the Pro Shop at the club,,,,,
3/8/2022 10:38:15,Yes,,1-5 years,1-3 times per week,Neutral,Neutral,Neutral,Neutral,Highly Satisfied,Neutral,Less than once per month,Slightly Satisfied,Neutral,Slightly Satisfied,Slightly Satisfied,Slightly Satisfied
3/8/2022 14:18:12,Yes,,More than 10 years,1-3 times per week,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Slightly Dissatisfied,Less than once per month,Neutral,Slightly Satisfied,Slightly Satisfied,Neutral,Highly Satisfied
3/9/2022 15:55:53,Yes,,More than 10 years,Less than once per week,Slightly Satisfied,Slightly Satisfied,Slightly Dissatisfied,Neutral,Slightly Satisfied,Slightly Satisfied,1-3 times per month,Neutral,Slightly Dissatisfied,Neutral,Slightly Dissatisfied,Neutral
3/10/2022 17:54:39,Yes,,More than 10 years,1-3 times per week,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,More than 3 times per month,Slightly Satisfied,Slightly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied
3/10/2022 17:56:38,Yes,,1-5 years,I have never received instruction at the club,,,,,,,Less than once per month,Highly Satisfied,,Highly Satisfied,Highly Satisfied,Highly Satisfied
3/10/2022 17:59:52,Yes,,More than 10 years,1-3 times per week,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Less than once per month,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied
3/10/2022 18:01:07,Yes,,1-5 years,I have never received instruction at the club,,,,,,,Less than once per month,Slightly Satisfied,Slightly Satisfied,Highly Satisfied,Highly Satisfied,Slightly Satisfied
3/10/2022 18:10:39,Yes,,5-10 years,Less than once per week,Highly Satisfied,Slightly Satisfied,Neutral,Neutral,Slightly Satisfied,Neutral,Less than once per month,Neutral,Slightly Satisfied,,Neutral,Neutral
3/10/2022 18:58:46,Yes,,More than 10 years,I have never received instruction at the club,,,,,,,1-3 times per month,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied
3/10/2022 19:04:12,Yes,,More than 10 years,I have never received instruction at the club,,,,,,,Less than once per month,,,,Neutral,
3/10/2022 19:14:13,Yes,,More than 10 years,1-3 times per week,Highly Satisfied,Highly Satisfied,Slightly Satisfied,Slightly Satisfied,Slightly Satisfied,Slightly Satisfied,1-3 times per month,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied
3/10/2022 21:16:23,Yes,,More than 10 years,I have never received instruction at the club,,,,,,,Less than once per month,Neutral,Neutral,,Slightly Satisfied,Slightly Dissatisfied
3/10/2022 21:56:28,Yes,,1-5 years,1-3 times per week,Highly Dissatisfied,Highly Dissatisfied,Slightly Dissatisfied,Highly Dissatisfied,Slightly Satisfied,Slightly Dissatisfied,1-3 times per month,Neutral,Neutral,Slightly Satisfied,Highly Satisfied,Slightly Satisfied
3/10/2022 22:23:24,Yes,,More than 10 years,I have never received instruction at the club,,,,,,,Less than once per month,Neutral,Neutral,,Neutral,Neutral
3/11/2022 5:50:57,Yes,,More than 10 years,Less than once per week,Slightly Satisfied,Slightly Satisfied,Slightly Satisfied,Slightly Satisfied,Highly Satisfied,Highly Satisfied,Less than once per month,Neutral,Slightly Satisfied,Neutral,Neutral,Slightly Satisfied
3/11/2022 6:46:36,Yes,,1-5 years,Less than once per week,Highly Satisfied,Highly Satisfied,Highly Satisfied,Neutral,Highly Satisfied,Neutral,Less than once per month,Neutral,Highly Dissatisfied,Neutral,Highly Satisfied,Slightly Satisfied
3/11/2022 7:57:37,Yes,,More than 10 years,Less than once per week,Slightly Satisfied,Neutral,Highly Satisfied,Slightly Satisfied,Highly Satisfied,Slightly Satisfied,1-3 times per month,Slightly Satisfied,Slightly Dissatisfied,Highly Satisfied,Highly Satisfied,Slightly Satisfied
3/11/2022 8:23:36,Yes,,More than 10 years,More than 3 times per week,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Less than once per month,,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied
3/11/2022 11:50:25,Yes,,1-5 years,Less than once per week,Highly Satisfied,Slightly Satisfied,Slightly Satisfied,Slightly Satisfied,Highly Satisfied,Highly Satisfied,Less than once per month,Slightly Satisfied,Slightly Satisfied,Slightly Satisfied,Highly Satisfied,Slightly Satisfied
3/11/2022 12:56:50,Yes,,5-10 years,1-3 times per week,Highly Satisfied,Highly Satisfied,Neutral,Neutral,Highly Satisfied,Slightly Dissatisfied,Less than once per month,Highly Dissatisfied,Highly Dissatisfied,Highly Dissatisfied,Neutral,Neutral
3/11/2022 13:26:21,Yes,,5-10 years,Less than once per week,Neutral,Neutral,Slightly Dissatisfied,Neutral,Highly Satisfied,Slightly Satisfied,1-3 times per month,Highly Satisfied,Slightly Satisfied,Slightly Satisfied,Highly Satisfied,Slightly Satisfied
3/11/2022 13:58:07,Yes,,5-10 years,Less than once per week,Neutral,Neutral,Slightly Satisfied,Neutral,Slightly Satisfied,Neutral,1-3 times per month,Slightly Dissatisfied,Highly Dissatisfied,,Slightly Satisfied,Neutral
3/11/2022 14:03:39,Yes,,5-10 years,I have never received instruction at the club,,,,,,,1-3 times per month,Neutral,Neutral,Neutral,Neutral,Slightly Satisfied
3/11/2022 14:16:29,Yes,,More than 10 years,Less than once per week,Slightly Satisfied,Neutral,Neutral,Highly Dissatisfied,Slightly Satisfied,Slightly Satisfied,Less than once per month,Slightly Dissatisfied,Slightly Satisfied,,Highly Satisfied,Slightly Satisfied
3/11/2022 14:43:53,Yes,,More than 10 years,1-3 times per week,Slightly Satisfied,Slightly Satisfied,Highly Satisfied,Highly Satisfied,Slightly Satisfied,Slightly Dissatisfied,Less than once per month,Highly Satisfied,Highly Satisfied,Slightly Satisfied,Neutral,Highly Satisfied
3/12/2022 7:17:53,Yes,,1-5 years,1-3 times per week,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,Highly Satisfied,1-3 times per month,Highly Satisfied,Slightly Dissatisfied,Highly Satisfied,Highly Satisfied,Slightly Satisfied
3/12/2022 15:14:32,Yes,,1-5 years,Less than once per week,Slightly Satisfied,Slightly Satisfied,Highly Satisfied,Slightly Satisfied,Highly Satisfied,Highly Satisfied,Less than once per month,Slightly Satisfied,Slightly Dissatisfied,Neutral,Highly Satisfied,Slightly Satisfied
3/13/2022 12:37:44,Yes,,Less than 1 year,1-3 times per week,Neutral,Neutral,Neutral,Slightly Satisfied,Slightly Satisfied,Slightly Satisfied,1-3 times per month,Highly Satisfied,Neutral,Slightly Satisfied,Slightly Dissatisfied,Neutral
